carrier_name,date,distance flown
AirTran Airways Corporation,2013-01-01,6866
AirTran Airways Corporation,2013-01-02,7628
AirTran Airways Corporation,2013-01-03,7628
AirTran Airways Corporation,2013-01-04,7628
AirTran Airways Corporation,2013-01-05,6866
AirTran Airways Corporation,2013-01-06,6128
AirTran Airways Corporation,2013-01-07,7628
AirTran Airways Corporation,2013-01-08,7628
AirTran Airways Corporation,2013-01-09,7628
AirTran Airways Corporation,2013-01-10,7628
AirTran Airways Corporation,2013-01-11,7628
AirTran Airways Corporation,2013-01-12,6866
AirTran Airways Corporation,2013-01-13,6128
AirTran Airways Corporation,2013-01-14,7628
AirTran Airways Corporation,2013-01-15,7628
AirTran Airways Corporation,2013-01-16,7628
AirTran Airways Corporation,2013-01-17,7628
AirTran Airways Corporation,2013-01-18,7628
AirTran Airways Corporation,2013-01-19,6866
AirTran Airways Corporation,2013-01-20,6128
AirTran Airways Corporation,2013-01-21,7628
AirTran Airways Corporation,2013-01-22,7628
AirTran Airways Corporation,2013-01-23,7628
AirTran Airways Corporation,2013-01-24,7628
AirTran Airways Corporation,2013-01-25,7628
AirTran Airways Corporation,2013-01-26,6866
AirTran Airways Corporation,2013-01-27,6128
AirTran Airways Corporation,2013-01-28,7628
AirTran Airways Corporation,2013-01-29,7628
AirTran Airways Corporation,2013-01-30,7628
AirTran Airways Corporation,2013-01-31,7628
AirTran Airways Corporation,2013-02-01,7628
AirTran Airways Corporation,2013-02-02,6866
AirTran Airways Corporation,2013-02-03,6128
AirTran Airways Corporation,2013-02-04,7628
AirTran Airways Corporation,2013-02-05,7628
AirTran Airways Corporation,2013-02-06,7628
AirTran Airways Corporation,2013-02-07,7628
AirTran Airways Corporation,2013-02-08,7628
AirTran Airways Corporation,2013-02-09,6866
AirTran Airways Corporation,2013-02-10,6128
AirTran Airways Corporation,2013-02-11,7628
AirTran Airways Corporation,2013-02-12,7628
AirTran Airways Corporation,2013-02-13,7628
AirTran Airways Corporation,2013-02-14,7628
AirTran Airways Corporation,2013-02-15,7628
AirTran Airways Corporation,2013-02-16,6866
AirTran Airways Corporation,2013-02-17,6128
AirTran Airways Corporation,2013-02-18,7628
AirTran Airways Corporation,2013-02-19,7628
AirTran Airways Corporation,2013-02-20,7628
AirTran Airways Corporation,2013-02-21,7628
AirTran Airways Corporation,2013-02-22,7628
AirTran Airways Corporation,2013-02-23,6866
AirTran Airways Corporation,2013-02-24,6128
AirTran Airways Corporation,2013-02-25,7628
AirTran Airways Corporation,2013-02-26,7628
AirTran Airways Corporation,2013-02-27,7628
AirTran Airways Corporation,2013-02-28,7628
AirTran Airways Corporation,2013-03-01,7628
AirTran Airways Corporation,2013-03-02,6866
AirTran Airways Corporation,2013-03-03,6128
AirTran Airways Corporation,2013-03-04,7628
AirTran Airways Corporation,2013-03-05,7628
AirTran Airways Corporation,2013-03-06,7628
AirTran Airways Corporation,2013-03-07,7628
AirTran Airways Corporation,2013-03-08,7628
AirTran Airways Corporation,2013-03-09,6866
AirTran Airways Corporation,2013-03-10,5366
AirTran Airways Corporation,2013-03-11,7287
AirTran Airways Corporation,2013-03-12,7287
AirTran Airways Corporation,2013-03-13,7287
AirTran Airways Corporation,2013-03-14,7287
AirTran Airways Corporation,2013-03-15,7287
AirTran Airways Corporation,2013-03-16,5366
AirTran Airways Corporation,2013-03-17,5366
AirTran Airways Corporation,2013-03-18,7287
AirTran Airways Corporation,2013-03-19,7287
AirTran Airways Corporation,2013-03-20,7287
AirTran Airways Corporation,2013-03-21,7287
AirTran Airways Corporation,2013-03-22,7287
AirTran Airways Corporation,2013-03-23,5366
AirTran Airways Corporation,2013-03-24,5366
AirTran Airways Corporation,2013-03-25,7287
AirTran Airways Corporation,2013-03-26,7287
AirTran Airways Corporation,2013-03-27,7287
AirTran Airways Corporation,2013-03-28,7287
AirTran Airways Corporation,2013-03-29,7287
AirTran Airways Corporation,2013-03-30,5366
AirTran Airways Corporation,2013-03-31,5366
AirTran Airways Corporation,2013-04-01,7287
AirTran Airways Corporation,2013-04-02,7287
AirTran Airways Corporation,2013-04-03,7287
AirTran Airways Corporation,2013-04-04,7287
AirTran Airways Corporation,2013-04-05,7287
AirTran Airways Corporation,2013-04-06,5366
AirTran Airways Corporation,2013-04-07,5366
AirTran Airways Corporation,2013-04-08,7287
AirTran Airways Corporation,2013-04-09,7287
