site_id,sample_id,cluster,town,type_of_sampling,visit,date_sampling,singleplex,spc,hf183,s_typhi,site_name,flow_speed,depth_of_wastewater_sewage,width_of_wastewater_sewage,deploy_duration,not_recovered,water_quality,calibrate,temp,orp,p_h,do,ec,ssg,tds,sal
AGO153-01,AGO153-01-G1,AGO153,AGOGO,Grab,1,2022-07-07T00:00:00Z,2,36.98,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G2,AGO153,AGOGO,Grab,2,2022-08-11T00:00:00Z,2,25.97,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G3,AGO153,AGOGO,Grab,3,2022-10-05T00:00:00Z,2,24.92,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G4,AGO153,AGOGO,Grab,4,2022-11-03T00:00:00Z,2,28.4,39.02,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G5,AGO153,AGOGO,Grab,5,2022-12-21T00:00:00Z,2,25.98,0,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-G6,AGO153,AGOGO,Grab,6,2023-01-20T00:00:00Z,2,37.07,22.98,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S1,AGO153,AGOGO,Moore Swab,1,2022-07-07T00:00:00Z,1,24.91,20.8,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S2,AGO153,AGOGO,Moore Swab,2,2022-08-11T00:00:00Z,1,26.64,23.3,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S3,AGO153,AGOGO,Moore Swab,3,2022-10-05T00:00:00Z,2,25.99,19.41,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S4,AGO153,AGOGO,Moore Swab,4,2022-11-03T00:00:00Z,2,24.23,20.4,1,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S5,AGO153,AGOGO,Moore Swab,5,2022-12-21T00:00:00Z,1,26.52,22.26,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO153-01,AGO153-01-S6,AGO153,AGOGO,Moore Swab,6,2023-01-20T00:00:00Z,1,26.1,16.07,0,"STREAM, BELOW THE POULTRY FARM",1,1,2,24,2,1,1,27.63,7.3,7.01,109,139,0,88,0.04
AGO154-35,AGO154-35-G1,AGO154,AGOGO,Grab,1,2022-07-27T00:00:00Z,2,23.63,37.54,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G2,AGO154,AGOGO,Grab,2,2022-08-12T00:00:00Z,2,24.31,33.31,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G3,AGO154,AGOGO,Grab,3,2022-10-06T00:00:00Z,1,23.13,30.15,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G4,AGO154,AGOGO,Grab,4,2022-11-04T00:00:00Z,2,25.14,37.01,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G5,AGO154,AGOGO,Grab,5,2023-01-26T00:00:00Z,2,22.49,0,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-G6,AGO154,AGOGO,Grab,6,2023-02-02T00:00:00Z,2,20.22,0,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S1,AGO154,AGOGO,Moore Swab,1,2022-07-27T00:00:00Z,2,25.59,32.21,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S2,AGO154,AGOGO,Moore Swab,2,2022-08-12T00:00:00Z,2,23.89,27.05,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S3,AGO154,AGOGO,Moore Swab,3,2022-10-06T00:00:00Z,1,23.98,27.19,1,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S4,AGO154,AGOGO,Moore Swab,4,2022-11-04T00:00:00Z,2,24.07,28.7,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S5,AGO154,AGOGO,Moore Swab,5,2023-01-26T00:00:00Z,2,24.81,30.11,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO154-35,AGO154-35-S6,AGO154,AGOGO,Moore Swab,6,2023-02-02T00:00:00Z,2,23.07,0,0,College of Education Close to Entrance,2,1,1,24,2,1,1,27.8,-153,4.9,2,2137,0,1391,1.08
AGO155-28,AGO155-28-G1,AGO155,AGOGO,Grab,1,2022-07-26T00:00:00Z,2,24.12,33.52,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G2,AGO155,AGOGO,Grab,2,2022-09-27T00:00:00Z,1,23.16,32.01,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G3,AGO155,AGOGO,Grab,3,2022-10-19T00:00:00Z,1,24.83,29.7,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G4,AGO155,AGOGO,Grab,4,2022-11-16T00:00:00Z,1,22.98,24.66,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G5,AGO155,AGOGO,Grab,5,2023-01-11T00:00:00Z,2,20.46,25.71,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-G6,AGO155,AGOGO,Grab,6,2023-01-25T00:00:00Z,2,21.18,35.09,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S1,AGO155,AGOGO,Moore Swab,1,2022-07-26T00:00:00Z,1,24.21,26.34,1,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S2,AGO155,AGOGO,Moore Swab,2,2022-09-27T00:00:00Z,1,24.47,27.31,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S3,AGO155,AGOGO,Moore Swab,3,2022-10-19T00:00:00Z,1,25.77,29.96,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S4,AGO155,AGOGO,Moore Swab,4,2022-11-16T00:00:00Z,1,24.09,22.13,0,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
AGO155-28,AGO155-28-S5,AGO155,AGOGO,Moore Swab,5,2023-01-11T00:00:00Z,1,21.25,27.05,1,First Place,2,1,1,24,1,1,1,29,-315.5,6.6,1.5,15709,0,3716,3.09
